"","theta","se.theta","total_score","ctt_sem","infitMNSQ","infitMNSQ.z","outfitMNSQ","outfitMNSQ.z"
"P1",0.848164480628992,0.448384577827096,17,2.12199359367338,0.876524935187975,-0.690110279076469,0.781052001144617,-0.847453953831489
"P2",-0.441831254545337,0.432510971832605,10,2.12199359367338,1.1394053922005,0.917253493098343,1.1457060877249,0.839898946130108
"P3",0.652374299350856,0.43725742937127,16,2.12199359367338,0.762469971699996,-1.66583479901118,0.688286676844724,-1.53980896612416
"P4",0.102475217572884,0.423202498150708,13,2.12199359367338,1.29227369789639,2.14776844225459,1.40676474811715,2.40077457395819
"P5",1.28089097711618,0.485707574426576,19,2.12199359367338,0.924830768665889,-0.243516167630559,0.887574997375182,-0.214689896154532
"P6",0.652374299350856,0.43725742937127,16,2.12199359367338,0.957425790288028,-0.235519138683713,0.962776429413125,-0.100441521472977
"P7",-0.441831254545337,0.432510971832605,10,2.12199359367338,1.05013183538099,0.37149628676638,1.05013035784368,0.336027832643626
"P8",0.652374299350856,0.43725742937127,16,2.12199359367338,0.897600021755975,-0.651938037479026,0.850065602111487,-0.653295867348162
"P9",-0.832106146436403,0.453256077428121,8,2.12199359367338,1.08527542912756,0.492814960584261,1.10150190549762,0.48828740903372
"P10",0.652374299350856,0.43725742937127,16,2.12199359367338,1.0015531798984,0.0606371570276534,0.951957094254692,-0.151574914991828
"P11",0.652374299350856,0.43725742937127,16,2.12199359367338,0.962826134920868,-0.19879301682247,0.990996637969125,0.0311520340561274
"P13",-1.04476511903481,0.469793246325375,7,2.12199359367338,0.855298427705112,-0.615863905760135,0.757172480581513,-0.839627535633001
"P14",2.1693158640489,0.62829604430616,22,2.12199359367338,0.914041074872114,-0.0496932195593758,0.649065225965253,-0.43873949741563
"P15",0.46473663756341,0.429696675037332,15,2.12199359367338,0.81745575924872,-1.38172519961352,0.755815376118787,-1.35620378518619
"P16",1.81912937462322,0.560145955077943,21,2.12199359367338,0.848624399572647,-0.334964738929107,0.641643517295882,-0.650956344118622
"P17",1.53097712891131,0.516101348064273,20,2.12199359367338,0.99039616664486,0.0623346270278285,1.0051811267878,0.151776971428481
"P18",-0.441831254545337,0.432510971832605,10,2.12199359367338,0.772862874734876,-1.55144701502334,0.725520093133789,-1.64732844965874
"P19",0.46473663756341,0.429696675037332,15,2.12199359367338,1.03623376665838,0.307676024776384,1.00445487970105,0.0864041085687469
"P20",1.28089097711618,0.485707574426576,19,2.12199359367338,1.09682993037355,0.47273960803895,1.54649883242074,1.45009082662694
"P21",1.28089097711618,0.485707574426576,19,2.12199359367338,1.17344455117059,0.76771189444131,1.19363101135693,0.635175820057729
"P22",0.282224473689825,0.425123076379847,14,2.12199359367338,1.00672981441381,0.0950735579588477,0.989049165450432,-0.010434527066882
"P23",-0.0766698934553978,0.42377517938875,12,2.12199359367338,0.937020049787969,-0.446296681665731,0.905518530906538,-0.594130663371382
"P24",0.652374299350856,0.43725742937127,16,2.12199359367338,0.976683787617402,-0.105175408986537,0.933912364053866,-0.237725263664474
"P26",0.46473663756341,0.429696675037332,15,2.12199359367338,0.774998014300036,-1.74363209086108,0.714448065987319,-1.6258563049407
"P27",1.81912937462322,0.560145955077943,21,2.12199359367338,1.11384818945764,0.428711170677306,1.0655630106893,0.295318241967735
"P28",0.652374299350856,0.43725742937127,16,2.12199359367338,1.15431892637528,1.02329892284858,1.12299980327117,0.615586669663738
"P29",-0.0766698934553978,0.42377517938875,12,2.12199359367338,0.959991344666858,-0.265076015071946,0.937318658422144,-0.372366601510149
"P30",-0.25739715081477,0.426830263232319,11,2.12199359367338,0.873142637028873,-0.897305784422671,0.864002953969349,-0.839260513096103
"P31",-0.0766698934553978,0.42377517938875,12,2.12199359367338,1.11748079172424,0.905541401707859,1.1361813732572,0.911705671191125
