Count,Item,format,Excluded,poly,recode,collapse,Max_poss,y1_post,y2_pre,y2_post,matrix1,matrix2,marix3,matrix4,matrix5,matrix6,matrix7,matrix8,CUJK,CUKK,JHU,Metro,STMU,UCD,UGA,cl1,cl2,cl3,cl4,cl5,cl6,cl7,cl8,cl9,cl10,cl11,cl12,cl13pre,cl13pos,cl14pre,cl14pos,cl15pre,cl17,cl18pre,cl18pos,cl19pre,cl19pos,cl20,P_learn_1,P-learn_2,sec_learn,Blooms level,Blooms weight,Max exam,Mx mc/tf
1,cl1_fc26,MC,0,0,0,0,,1,"see matrix 1, 2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
2,cl1_fc27,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,2,5,2.5,1
3,cl1_fc28,MC,0,0,0,0,,1,"see matrix 1, 2",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,,2,5,2.5,1
4,cl1_fc29,MC,0,0,0,0,,1,"see matrix 1, 2",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,,3,7.5,2.5,1
5,cl1_fc30,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,2,5,2.5,1
6,cl1_fc31,MC,1,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,4,10,2.5,1
7,cl1_fc32,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
8,cl1_fc33,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
9,cl1_fc34,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,4,10,2.5,1
10,cl1_fc35,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
11,cl1_fc36,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
12,cl1_fc37,MC,0,0,0,0,,1,"see matrix 1, 2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,,,3,7.5,2.5,1
13,cl1_fc38,MC,0,0,0,0,,1,"see matrix 1, 2",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,7.5,2.5,1
14,cl1_fc39,MC,0,0,0,0,,1,"see matrix 1, 2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,,2.5,1
15,cl1_fc40,MC,0,0,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,3,,2.5,1
16,cl1_fc41,SA,1,1,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,4,10,10,10
17,cl1_fc42,SA,0,1,0,0,,1,"see matrix 1, 2",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,,4,,11,11
18,cl1_fc43,SA,0,1,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,4,,10,10
19,cl1_fc44,SA,1,1,0,0,,1,"see matrix 1, 2",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,,,4,10,6,6
20,cl1_fc45,SA,1,1,0,0,,1,"see matrix 1, 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,2,20,13,13
21,cl10_me1_2,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,,,1,2,2,1
22,cl10_me1_28,MC,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,4,8,2,1
23,cl10_me1_30,MC,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,,2,4,2,1
24,cl10_me1_44,SA,0,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,2,28,14,14
25,cl10_me2_11,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,1,2,2,1
26,cl10_me2_17,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,2,4,2,1
27,cl10_me2_2,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,2,4,2,1
28,cl10_me2_20,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,4,1,2,2,1
29,cl10_me2_25,MC,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,1,2,2,1
30,cl10_me2_28,MC,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,6,2,1
