"","Itemp","Corrected_ItemTotal","AlphaIfDeleted"
"GCAPost1",0.784643071385723,0.389389771860521,0.785018253226882
"GCAPost2",0.802639472105579,0.275662605065596,0.790132564675456
"GCAPost3",0.478104379124175,0.135355494376594,0.798121931268384
"GCAPost4",0.772645470905819,0.34968888284245,0.786770505025994
"GCAPost5",0.659268146370726,0.404770051077519,0.78368177339001
"GCAPost6",0.784643071385723,0.352948219696018,0.786672806833426
"GCAPost7",0.787642471505699,0.39268952993062,0.78489188446107
"GCAPost8",0.902819436112777,0.256856326177229,0.791090248685146
"GCAPost9",0.53869226154769,0.326501359610155,0.787844805908695
"GCAPost10",0.590881823635273,0.30830455182485,0.788803366453938
"GCAPost11",0.623275344931014,0.412012905219564,0.783216180857876
"GCAPost12",0.634073185362927,0.347841621275257,0.786667659664322
"GCAPost13",0.842831433713257,0.360001835246463,0.786805663345569
"GCAPost14",0.694661067786443,0.290172881776752,0.789604255819695
"GCAPost15",0.514097180563887,0.246892354596981,0.792181196111062
"GCAPost16",0.711457708458308,0.401072044643729,0.784041895067639
"GCAPost17",0.547090581883623,0.311984096451708,0.788634454055884
"GCAPost18",0.622075584883023,0.356064133346351,0.786227093566073
"GCAPost19",0.856028794241152,0.0376317569174305,0.799101805221276
"GCAPost20",0.425314937012597,0.392498450498417,0.784224425428252
"GCAPost21",0.607078584283143,0.358343301906777,0.786101205965061
"GCAPost22",0.558488302339532,0.389395278224789,0.784386857746519
"GCAPost23",0.62627474505099,0.363346497403071,0.785838825716729
"GCAPost24",0.554889022195561,0.334917632294331,0.787379993934819
"GCAPost25",0.667666466706659,0.338586715489725,0.78715619113903
