"","Difficulty","SE","outMNSQ","out.t","inMNSQ","in.t"
"beta GCAPost1",-0.639814060195339,0.0620069771404106,0.78795965497675,-3.60876929049098,0.906384693154611,-2.87425851408762
"beta GCAPost2",-0.76375465923041,0.0637760104958165,0.925701989974462,-1.09943483948878,1.00849710643094,0.248736339727995
"beta GCAPost3",0.973474387554913,0.052771033655933,1.28599435064581,8.81035417990493,1.22186917843234,9.98702477580391
"beta GCAPost4",-0.560899351786314,0.0609782576670422,0.88823758489196,-1.9102813647379,0.946308073607832,-1.68899508320012
"beta GCAPost5",0.0894271595810534,0.0549428153463123,0.879880904797825,-3.07510507852348,0.933418039972523,-2.83470872218564
"beta GCAPost6",-0.639828107964507,0.0620099822022722,0.892002433944859,-1.75570370200294,0.935667117200277,-1.95117124117973
"beta GCAPost7",-0.659997479963097,0.0622849714645628,0.834041747736829,-2.73543844564283,0.8953316849391,-3.19371300604287
"beta GCAPost8",-1.66878544959639,0.0831167902975426,0.905315852770316,-0.827546670939516,0.93180020658565,-1.15859936710217
"beta GCAPost9",0.685280255634864,0.052774491161449,1.03731396512103,1.21124817552748,1.01939640500781,0.934773508114009
"beta GCAPost10",0.43352286962898,0.0533286761391051,1.03499462796482,1.03802497222612,1.03699870613719,1.69898053368347
"beta GCAPost11",0.273240162610613,0.0539546148946146,0.932709871996873,-1.87246811757973,0.9322843922111,-3.06843888086438
"beta GCAPost12",0.218822568681279,0.0542166011170208,0.977387133439987,-0.592675966272395,0.993086330864883,-0.294784692738089
"beta GCAPost13",-1.07181272769216,0.0690009189808188,0.900794254606513,-1.23743502303804,0.892657915515741,-2.61868647762366
"beta GCAPost14",-0.0995074686777292,0.0562723948551631,1.06126191247496,1.33659235411206,1.03443096164529,1.32611773073451
"beta GCAPost15",0.802416658578113,0.0526921120933078,1.15603892598638,4.96426815868914,1.10943402154163,5.12516573340169
"beta GCAPost16",-0.192846997695995,0.0570519307469795,0.843605600696611,-3.42044153637615,0.926717350265178,-2.78280054652104
"beta GCAPost17",0.645131218788991,0.0528282358911883,1.01841170481369,0.599964697456287,1.03790228243729,1.8020852149088
"beta GCAPost18",0.279252595690778,0.0539272619368681,0.980776823005509,-0.519126146462764,0.985392011951061,-0.645199513071033
"beta GCAPost19",-1.18555646654197,0.0712576460057923,1.72496337655946,6.9320511187548,1.14065145728032,2.99854010724706
"beta GCAPost20",1.22652375161055,0.0533245462565975,0.933601300157347,-2.15150514823341,0.937527455071754,-2.94849441545805
"beta GCAPost21",0.353885798939446,0.053612718397213,0.984706928891735,-0.427239940195914,0.985644939973015,-0.647491008626709
"beta GCAPost22",0.590463453069368,0.0529224342520279,0.942209931950393,-1.85513259230027,0.960485381173048,-1.90041688735551
"beta GCAPost23",0.258180131403872,0.0540245846353734,0.942731086127575,-1.57303326555521,0.978036878344919,-0.9700280690286
"beta GCAPost24",0.607751949030421,0.0528900190251092,0.994740981642372,-0.157276517342271,1.01067428167765,0.514782282964171
"beta GCAPost25",0.045429808540663,0.0552234114642899,0.974589515583522,-0.601700429050325,0.994865557530626,-0.202992601110851
