"","xsi","se.xsi"
"GCAPost1",-1.52203335279038,0.0863314845499044
"GCAPost2",-1.80900494161392,0.0925739037344211
"GCAPost3",0.0503182722570788,0.0726346625579312
"GCAPost4",-1.53699042759629,0.0866226497830077
"GCAPost5",-0.808352003389713,0.0762664082850744
"GCAPost6",-1.33591347229747,0.0830025320962164
"GCAPost7",-1.54450702259161,0.0867703397164441
"GCAPost8",-2.58795522279784,0.117728576258576
"GCAPost9",-0.240362687521153,0.0729203388728181
"GCAPost10",-0.390221562861889,0.0734385278633115
"GCAPost11",-0.587014996209454,0.0745107545436586
"GCAPost12",-0.626016024199834,0.0747771749521023
"GCAPost13",-1.87884491488008,0.0943132744537979
"GCAPost14",-1.0735459342432,0.0791802941622839
"GCAPost15",-0.139643553761155,0.0727144210298913
"GCAPost16",-0.837540256721304,0.0765428531412652
"GCAPost17",-0.368675223515377,0.0733483099440981
"GCAPost18",-0.626016024199834,0.0747771749521023
"GCAPost19",-2.03679276772906,0.0985901276921496
"GCAPost20",0.50531450446018,0.0740916535393289
"GCAPost21",-0.537261171937457,0.0741970125666499
"GCAPost22",-0.347180222111665,0.0732635878775829
"GCAPost23",-0.411822552219318,0.0735343100458569
"GCAPost24",-0.449765942293918,0.0737155408627898
"GCAPost25",-0.790938625539595,0.0761065572415986
