"","cl","Semester","Institution","Course.Code","count","Year1_mean","Year1_max","Year1_mean_prop","Year1_mprop_sd"
"1"," 1","Fa2015","CUB_KK","MCDB2150","114","21.69","29.00","0.75","0.15"
"2"," 2","Fa2015","JHU_EF","Genetics020.330","116","174.96","245.00","0.71","0.13"
"3"," 3","Fa2015","Metro_VM","BIO3600"," 21","17.10","23","0.74","0.20"
"4"," 4","Fa2015","StMU_CG","BL2330"," 16","51.69","73.00","0.71","0.18"
"5"," 5","Fa2015","UCD_AJ1","BIOL38321"," 45","38.51","50.00","0.77","0.20"
"6"," 6","Fa2015","UCD_AJ2","BIOL38322"," 66","32.76","50.00","0.66","0.25"
"7"," 7","Sp2016","CUB_JK","MCDB2150","264","60.23","85.00","0.71","0.15"
"8"," 8","Sp2016","Metro_VM","BIO3600"," 28","14.46","20","0.72","0.13"
"9"," 9","Sp2016","StMU_CG","BL2330"," 14","42.00","75.00","0.56","0.26"
"10","10","Sp2016","Uga_NA","GENE3200","263","99.71","144.00","0.69","0.14"
